name,roast_num,aroma,acid,body,flavor,aftertaste,with_milk,rating
“Sweety” Espresso Blend,2,9,1,9,9,9,9,95
Flora Blend Espresso,2,9,1,9,9,8,9,94
Ethiopia Shakiso Mormora,2,9,8,8,9,8,1,92
Ethiopia Suke Quto,2,8,8,9,9,8,1,92
Ethiopia Gedeb Halo Beriti,3,9,9,9,9,8,1,94
Ethiopia Kayon Mountain,1,9,8,9,9,8,1,93
Ethiopia Gelgelu Natural Organic,2,9,8,9,9,8,1,93
Ethiopia Hambela Alaka,2,9,8,9,9,8,1,93
Organic Ethiopia Kirite,2,9,9,8,9,8,1,93
Ethiopia Sidama,3,9,9,9,9,8,1,94
Thiriku AA Kenya,3,9,9,9,9,9,1,95
Ethiopia Natural Yirgacheffe Tore,2,9,8,9,9,8,1,93
Direct Fair Trade Espresso,2,9,1,8,8,8,9,92
Decaf Ethiopia Sidamo,3,8,8,7,9,8,1,90
“Flowery” Espresso Blend,2,8,1,8,9,7,8,90
“Chocolate” Espresso Blend,3,8,1,8,8,8,7,89
“Nutty” Espresso Blend,2,7,1,8,8,7,8,88
Ethiopia Yirgacheffe Washed G1,2,8,8,9,9,8,1,92
“Blue Mountain Flavor” Blend,2,9,8,8,9,8,1,92
House Blend Espresso,2,8,1,9,8,7,9,91
Ethiopia Yirgacheffe Natural G1,2,9,8,8,9,7,1,91
“Fruity” Espresso Blend,2,9,1,9,9,9,9,95
Decaf Colombia Select,2,7,7,8,8,7,1,87
Ethiopia Awassa,2,9,8,9,9,8,1,93
The Knight Dark Roast,6,8,7,9,8,7,1,89
100% Kona SL-28,2,10,9,9,10,9,1,97
Kenya Kirinyaga Mukangu AB,2,9,9,9,9,9,1,95
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,4,9,8,8,9,8,1,92
Ethiopia Washed Yirgacheffe Adado,2,9,9,9,9,9,1,95
Outbound Espresso,2,9,1,8,9,8,9,93
Ace Espresso,2,9,1,9,9,8,9,94
Kenya Mutungati,2,9,9,9,9,8,1,94
Guatemala El Retiro del Quisaya,1,9,8,8,9,9,1,93
Kenya Peaberry Kericho County,2,8,8,9,9,8,1,92
Static El Salvador Finca Maria Luisa,2,8,7,8,8,8,1,89
Kamwangi Kenya,2,8,9,9,9,8,1,93
Ethiopia Gelana Abaya,2,9,7,9,9,8,1,92
Christmas Blend,3,8,8,8,9,8,1,91
Thanksgiving Blend,3,8,8,8,8,8,1,90
Ethiopia Bishan Fugu,1,8,9,8,9,9,1,93
Sustainable Harvest Homacho Waeno Natural,1,9,9,8,9,8,1,93
Ethiopia Amaro Gayo Natural,2,9,8,8,9,8,1,92
Static Colombia Decaf Midnight,3,8,8,8,8,7,1,89
Kenya Riakiberu AB,2,9,9,9,9,9,1,95
Diima #9 Ethiopia Natural,2,9,8,9,9,8,1,93
Sweet Holiday Blend,2,9,8,9,9,8,1,93
DR Congo Virunga Organic,2,9,8,9,9,8,1,93
Holiday Blend,1,9,9,8,9,8,1,93
Kenya Thaitu,2,9,9,9,9,9,1,95
Yule Blend 2018,2,9,9,9,9,8,1,94
Los Congos Pacamara Honey,1,9,8,9,9,8,1,93
Coffea Diversa Costa Rica Sudan Rume,2,9,9,8,9,8,1,93
Ethiopia Banko Gotiti Natural G1,1,9,9,9,9,8,1,94
Panama Auromar Geisha Natural,2,10,9,9,9,9,1,96
El Salvador Finca Kilimanjaro,2,9,9,9,9,9,1,95
Panama Elida Green Tip Gesha Natural,2,9,9,8,9,9,1,94
Gikanda Kenya,2,9,10,9,9,9,1,96
Panama Don Julian Pacamara,2,9,9,9,9,9,1,95
